# Amorphous silicon (a-Si) refractive index
# Source: Pierce & Spicer, Phys. Rev. B 5, 3017-3029 (1972)
# Tabulated data from a 60-nm a-Si film, interpolated to grid
# Data extrapolated 2.066-2.500 um (n flat, k=0 beyond bandgap)
# WARNING: Strongly absorbing for wl < ~900 nm (k > 0.04)
#          Visible-band tiles will have low transmission
#          For a-Si:H (PECVD with H), absorption edge red-shifts slightly
wavelength_nm,n,k
2005.0,3.442068,0.000000e+00
2010.0,3.441898,0.000000e+00
2015.0,3.441729,0.000000e+00
2020.0,3.441559,0.000000e+00
2025.0,3.441390,0.000000e+00
2030.0,3.441220,0.000000e+00
2035.0,3.441051,0.000000e+00
2040.0,3.440881,0.000000e+00
2045.0,3.440712,0.000000e+00
2050.0,3.440542,0.000000e+00
2055.0,3.440373,0.000000e+00
2060.0,3.440203,0.000000e+00
2065.0,3.440034,0.000000e+00
2070.0,3.439908,0.000000e+00
2075.0,3.439793,0.000000e+00
2080.0,3.439677,0.000000e+00
2085.0,3.439562,0.000000e+00
2090.0,3.439447,0.000000e+00
2095.0,3.439332,0.000000e+00
2100.0,3.439217,0.000000e+00
2105.0,3.439101,0.000000e+00
2110.0,3.438986,0.000000e+00
2115.0,3.438871,0.000000e+00
2120.0,3.438756,0.000000e+00
2125.0,3.438641,0.000000e+00
2130.0,3.438525,0.000000e+00
2135.0,3.438410,0.000000e+00
2140.0,3.438295,0.000000e+00
2145.0,3.438180,0.000000e+00
2150.0,3.438065,0.000000e+00
2155.0,3.437949,0.000000e+00
2160.0,3.437834,0.000000e+00
2165.0,3.437719,0.000000e+00
2170.0,3.437604,0.000000e+00
2175.0,3.437488,0.000000e+00
2180.0,3.437373,0.000000e+00
2185.0,3.437258,0.000000e+00
2190.0,3.437143,0.000000e+00
2195.0,3.437028,0.000000e+00
2200.0,3.436912,0.000000e+00
2205.0,3.436797,0.000000e+00
2210.0,3.436682,0.000000e+00
2215.0,3.436567,0.000000e+00
2220.0,3.436452,0.000000e+00
2225.0,3.436336,0.000000e+00
2230.0,3.436221,0.000000e+00
2235.0,3.436106,0.000000e+00
2240.0,3.435991,0.000000e+00
2245.0,3.435876,0.000000e+00
2250.0,3.435760,0.000000e+00
2255.0,3.435645,0.000000e+00
2260.0,3.435530,0.000000e+00
2265.0,3.435415,0.000000e+00
2270.0,3.435300,0.000000e+00
2275.0,3.435184,0.000000e+00
2280.0,3.435069,0.000000e+00
2285.0,3.434954,0.000000e+00
2290.0,3.434839,0.000000e+00
2295.0,3.434724,0.000000e+00
2300.0,3.434608,0.000000e+00
2305.0,3.434493,0.000000e+00
2310.0,3.434378,0.000000e+00
2315.0,3.434263,0.000000e+00
2320.0,3.434147,0.000000e+00
2325.0,3.434032,0.000000e+00
2330.0,3.433917,0.000000e+00
2335.0,3.433802,0.000000e+00
2340.0,3.433687,0.000000e+00
2345.0,3.433571,0.000000e+00
2350.0,3.433456,0.000000e+00
2355.0,3.433341,0.000000e+00
2360.0,3.433226,0.000000e+00
2365.0,3.433111,0.000000e+00
2370.0,3.432995,0.000000e+00
2375.0,3.432880,0.000000e+00
2380.0,3.432765,0.000000e+00
2385.0,3.432650,0.000000e+00
2390.0,3.432535,0.000000e+00
2395.0,3.432419,0.000000e+00
2400.0,3.432304,0.000000e+00
