# Silicon nitride (Si3N4, stoichiometric LPCVD) refractive index
# Source: Luke et al., Opt. Lett. 40, 4823-4826 (2015)
# Sellmeier formula valid 0.310-5.504 um
# k assumed = 0 (negligible absorption in VNIR-SWIR for stoichiometric Si3N4)
# NOTE: PECVD Si3N4 has hydrogen content and typically n ~ 1.85-1.95 (lower)
wavelength_nm,n,k
2245.0,1.975793,0.000000e+00
2250.0,1.975631,0.000000e+00
2255.0,1.975469,0.000000e+00
2260.0,1.975307,0.000000e+00
2265.0,1.975145,0.000000e+00
2270.0,1.974982,0.000000e+00
2275.0,1.974819,0.000000e+00
2280.0,1.974656,0.000000e+00
2285.0,1.974492,0.000000e+00
2290.0,1.974329,0.000000e+00
2295.0,1.974165,0.000000e+00
2300.0,1.974000,0.000000e+00
2305.0,1.973836,0.000000e+00
2310.0,1.973671,0.000000e+00
2315.0,1.973506,0.000000e+00
2320.0,1.973341,0.000000e+00
2325.0,1.973175,0.000000e+00
2330.0,1.973009,0.000000e+00
2335.0,1.972843,0.000000e+00
2340.0,1.972676,0.000000e+00
2345.0,1.972510,0.000000e+00
2350.0,1.972343,0.000000e+00
2355.0,1.972175,0.000000e+00
2360.0,1.972008,0.000000e+00
2365.0,1.971840,0.000000e+00
2370.0,1.971672,0.000000e+00
2375.0,1.971504,0.000000e+00
2380.0,1.971335,0.000000e+00
2385.0,1.971166,0.000000e+00
2390.0,1.970997,0.000000e+00
2395.0,1.970827,0.000000e+00
2400.0,1.970657,0.000000e+00
2405.0,1.970487,0.000000e+00
2410.0,1.970317,0.000000e+00
2415.0,1.970146,0.000000e+00
2420.0,1.969975,0.000000e+00
2425.0,1.969804,0.000000e+00
2430.0,1.969633,0.000000e+00
2435.0,1.969461,0.000000e+00
2440.0,1.969289,0.000000e+00
2445.0,1.969117,0.000000e+00
2450.0,1.968944,0.000000e+00
2455.0,1.968771,0.000000e+00
2460.0,1.968598,0.000000e+00
2465.0,1.968424,0.000000e+00
2470.0,1.968250,0.000000e+00
2475.0,1.968076,0.000000e+00
2480.0,1.967902,0.000000e+00
2485.0,1.967727,0.000000e+00
2490.0,1.967552,0.000000e+00
2495.0,1.967377,0.000000e+00
2500.0,1.967201,0.000000e+00
